,latitud,longitud,profundidad (km),magnitud (M),distrito,gasto por daño
0,-16.145,-72.144,60,7.5,20,71909500000.0
1,-15.0,-75.0,70,7.0,29,82972500000.0
2,-14.5,-74.5,150,6.4,29,82972500000.0
3,-12.5,-68.5,300,5.8,20,71909500000.0
4,-5.5,-77.5,100,5.7,36,37964700000.0
5,-8.5,-74.5,136,5.3,32,15037537500.0
6,-17.5,-70.0,150,5.9,20,71909500000.0
7,-16.389,-73.817,80,6.2,20,71909500000.0
8,-14.5,-73.5,100,6.1,34,66667680000.0
9,-18.0,-71.5,100,5.0,20,71909500000.0
10,-9.0,-72.5,60,5.8,8,167976388949.99994
11,-8.0,-71.0,600,6.2,8,167976388949.99994
12,-15.0,-70.5,200,5.9,20,71909500000.0
13,-7.0,-80.0,33,5.3,13,43009540000.0
14,-2.5,-77.5,200,5.8,36,37964700000.0
15,-15.0,-75.51,67,5.7,29,82972500000.0
16,-15.2,-76.2,91,5.4,29,82972500000.0
17,-3.0,-75.9,146,6.4,36,37964700000.0
18,-16.0,-72.9,115,5.3,20,71909500000.0
19,-14.4,-71.6,55,5.3,20,71909500000.0
20,-16.1,-71.9,114,5.6,20,71909500000.0
21,-5.6,-80.9,60,6.8,13,43009540000.0
22,-16.0,-74.0,33,5.8,29,82972500000.0
23,-15.2,-73.5,28,5.2,29,82972500000.0
24,-16.2,-72.9,147,5.2,20,71909500000.0
25,-17.0,-70.0,47,5.6,20,71909500000.0
26,-15.9,-73.1,135,5.1,20,71909500000.0
27,-13.6,-76.3,86,6.0,29,82972500000.0
28,-10.4,-71.0,600,6.0,34,66667680000.0
29,-11.1,-78.8,60,5.0,0,291359135593.2201
30,-18.3,-70.2,29,5.3,20,71909500000.0
31,-13.2,-75.1,83,6.2,29,82972500000.0
32,-18.1,-70.3,60,5.3,20,71909500000.0
33,-12.0,-75.3,29,5.5,8,167976388949.99994
34,-15.3,-74.8,68,5.8,29,82972500000.0
35,-8.7,-79.1,57,5.8,10,55328000000.0
36,-6.2,-77.1,15,5.8,36,37964700000.0
37,-2.287,-77.035,142,6.6,36,37964700000.0
38,-17.4,-72.7,46,5.6,20,71909500000.0
39,-10.8,-71.0,649,7.0,34,66667680000.0
40,-11.5,-70.6,630,6.1,34,66667680000.0
41,-15.2,-70.2,185,5.3,20,71909500000.0
42,-14.1,-73.9,100,4.8,34,66667680000.0
43,-3.9,-77.8,33,5.5,36,37964700000.0
44,-10.4,-70.7,605,7.1,34,66667680000.0
45,-10.5,-70.7,629,7.5,34,66667680000.0
46,-10.9,-79.1,45,4.8,10,55328000000.0
47,-11.1,-70.6,543,5.6,34,66667680000.0
48,-13.3,-75.5,137,5.3,29,82972500000.0
49,-13.98,-71.9,20,5.2,34,66667680000.0
50,-14.3,-71.9,68,5.6,20,71909500000.0
51,-5.6,-80.3,61,6.1,13,43009540000.0
52,-7.2,-76.4,33,5.8,36,37964700000.0
53,-14.9,-75.7,39,5.3,29,82972500000.0
54,-5.7,-80.9,33,6.1,13,43009540000.0
55,-18.1,-70.6,77,5.3,20,71909500000.0
56,-15.7,-69.6,190,4.6,20,71909500000.0
57,-15.7,-74.3,64,5.9,29,82972500000.0
58,-13.9,-72.6,91,5.0,34,66667680000.0
59,-16.8,-73.5,33,5.1,20,71909500000.0
60,-14.9,-70.7,119,5.1,20,71909500000.0
61,-10.0,-79.0,39,6.7,10,55328000000.0
62,-9.3,-78.9,80,5.9,10,55328000000.0
63,-14.3,-75.5,100,5.2,29,82972500000.0
64,-16.3,-75.0,33,5.3,29,82972500000.0
65,-17.5,-70.4,92,5.7,20,71909500000.0
66,-17.4,-69.8,145,5.3,20,71909500000.0
67,-15.6,-73.4,98,5.3,20,71909500000.0
68,-15.5,-76.1,33,5.2,29,82972500000.0
69,-15.5,-73.1,137,5.2,20,71909500000.0
70,-13.8,-76.7,61,4.8,22,87387300000.0
71,-17.1,-70.5,33,6.0,20,71909500000.0
72,-17.2,-69.7,153,5.3,20,71909500000.0
73,-15.1,-75.4,44,5.3,29,82972500000.0
74,-8.7,-79.8,45,6.2,13,43009540000.0
75,-15.262,-75.512,20,5.9,29,82972500000.0
76,-8.4,-78.7,80,5.1,32,15037537500.0
77,-3.9,-76.8,102,6.0,36,37964700000.0
78,-10.7,-79.0,21,4.9,10,55328000000.0
79,-8.3,-75.1,124,5.8,32,15037537500.0
80,-11.6,-75.0,47,4.9,8,167976388949.99994
81,-9.1,-77.1,33,4.6,32,15037537500.0
82,-8.5,-80.1,33,5.2,13,43009540000.0
83,-15.1,-72.5,97,5.3,20,71909500000.0
84,-15.1,-73.6,105,5.5,29,82972500000.0
85,-4.5,-81.6,23,5.6,13,43009540000.0
86,-15.8,-75.3,40,5.3,29,82972500000.0
87,-4.5,-81.5,22,5.8,13,43009540000.0
88,-6.6,-81.2,31,5.5,13,43009540000.0
89,-10.8,-78.5,32,5.8,10,55328000000.0
90,-4.8,-78.4,33,4.9,36,37964700000.0
91,-16.3,-73.0,95,5.0,20,71909500000.0
92,-18.0,-69.9,159,4.8,20,71909500000.0
93,-6.2,-76.5,125,6.9,36,37964700000.0
94,-11.7,-78.1,10,5.3,0,291359135593.2201
95,-8.3,-80.0,9,5.4,13,43009540000.0
96,-8.0,-74.4,143,4.9,32,15037537500.0
97,-14.1,-73.9,94,5.4,34,66667680000.0
98,-16.9,-72.4,47,5.1,20,71909500000.0
99,-5.5,-81.2,33,5.1,13,43009540000.0
100,-5.3,-78.5,33,4.9,36,37964700000.0
101,-4.9,-81.2,45,4.6,13,43009540000.0
102,-15.3,-69.4,179,4.5,20,71909500000.0
103,-15.9,-75.2,33,4.7,29,82972500000.0
104,-11.7,-77.6,33,4.7,0,291359135593.2201
105,-7.3,-75.2,43,4.8,36,37964700000.0
106,-8.8,-77.9,94,4.7,32,15037537500.0
107,-11.6,-77.5,55,6.0,0,291359135593.2201
108,-3.2,-77.8,65,4.7,36,37964700000.0
109,-16.3,-72.2,90,4.6,20,71909500000.0
110,-12.5,-73.7,79,4.9,34,66667680000.0
111,-9.7,-78.5,62,5.3,10,55328000000.0
112,-15.0,-71.8,100,4.6,20,71909500000.0
113,-4.1,-80.9,34,5.1,13,43009540000.0
114,-9.9,-79.0,31,5.2,10,55328000000.0
115,-10.0,-78.6,80,4.9,10,55328000000.0
116,-13.8,-69.3,543,7.8,20,71909500000.0
117,-14.2,-71.9,31,5.0,20,71909500000.0
118,-17.7,-70.1,158,4.7,20,71909500000.0
119,-7.1,-81.6,23,7.0,13,43009540000.0
120,-15.9,-74.4,53,4.6,29,82972500000.0
121,-14.1,-76.4,41,4.9,29,82972500000.0
122,-14.6,-73.6,176,4.5,34,66667680000.0
123,-10.783,-78.269,61,6.7,10,55328000000.0
124,-11.3,-77.6,33,4.9,0,291359135593.2201
125,-10.754,-78.239,80,6.2,10,55328000000.0
126,-9.0,-75.0,82,4.6,32,15037537500.0
127,-12.9,-76.8,69,5.7,22,87387300000.0
128,-18.3,-71.2,78,4.9,20,71909500000.0
129,-14.7,-71.7,121,4.7,20,71909500000.0
130,-13.6,-76.9,38,4.6,22,87387300000.0
131,-4.8,-77.9,20,5.6,36,37964700000.0
132,-4.9,-77.7,60,4.9,36,37964700000.0
133,-12.5,-74.7,105,4.8,8,167976388949.99994
134,-3.5,-77.8,18,6.2,36,37964700000.0
135,-4.3,-78.3,146,4.7,36,37964700000.0
136,-15.6,-73.3,112,5.2,20,71909500000.0
137,-3.7,-78.3,33,4.9,36,37964700000.0
138,-15.0,-75.8,52,4.5,29,82972500000.0
139,-12.8,-73.9,86,4.9,34,66667680000.0
140,-4.2,-77.7,170,4.6,36,37964700000.0
141,-16.7,-69.7,174,5.1,20,71909500000.0
142,-3.7,-78.2,33,4.9,36,37964700000.0
143,-9.127,-71.483,591,7.6,8,167976388949.99994
144,-8.976,-71.171,594,6.3,8,167976388949.99994
145,-15.8,-72.4,33,4.5,20,71909500000.0
146,-4.7,-76.8,152,4.8,36,37964700000.0
147,-16.5,-74.5,54,4.8,29,82972500000.0
148,-18.6,-72.2,33,4.9,20,71909500000.0
149,-16.6,-72.1,79,5.3,20,71909500000.0
150,-15.1,-73.7,124,5.1,29,82972500000.0
151,-8.3,-81.1,33,5.0,13,43009540000.0
152,-7.1,-80.4,45,4.9,13,43009540000.0
153,-7.1,-80.5,33,4.9,13,43009540000.0
154,-8.7,-79.8,33,4.9,13,43009540000.0
